OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-01-26T14:00:48.669696,13.76439249,.00250104,90.2171,68.4935,6.2375,148.1560,0,U,900,999,5194,.86796744E-3,.859E-5,0
CALSPHERE 2,1964-063E,2026-01-26T13:38:23.330112,13.52888059,.00165987,90.2308,72.4604,279.4769,249.2104,0,U,902,999,83711,.67852799E-4,.54E-6,0
LCS 1,1965-034C,2026-01-26T14:25:10.755552,9.89309970,.00134794,32.1379,153.1969,339.9737,20.0231,0,U,1361,999,19586,.14673684E-2,.2E-6,0
TEMPSAT 1,1965-065E,2026-01-26T13:21:27.870048,13.33586300,.00679194,89.9867,212.6205,286.8475,134.4235,0,U,1512,999,94117,.11152986E-3,.64E-6,0
CALSPHERE 4A,1965-065H,2026-01-26T11:45:46.975392,13.36250974,.00712803,89.9105,123.8532,142.7687,337.5240,0,U,1520,999,94378,.2370578E-3,.133E-5,0
OPS 5712 (P/L 160),1967-053A,2026-01-26T14:34:09.576192,14.75281488,.00067023,69.9188,24.7155,267.2085,92.8295,0,U,2826,999,4533,.21564004E-2,.14583E-3,0
LES-5,1967-066E,2026-01-26T03:26:51.930240,1.09425167,.00568798,2.2962,100.9194,204.6976,235.9809,0,U,2866,999,12948,0,-.46E-6,0
SURCAL 159,1967-053F,2026-01-26T12:11:23.964864,13.99560976,.00094576,69.9755,305.9045,290.0943,69.9146,0,U,2872,999,99038,.16008521E-3,.18E-5,0
OPS 5712 (P/L 153),1967-053H,2026-01-26T13:12:59.463936,13.96802737,.00068729,69.9732,58.8887,355.3114,4.7927,0,U,2874,999,98700,.84891087E-4,.65E-6,0
OPS 3811 (DSP 2),1971-039A,2026-01-26T12:12:54.027360,0.98159209,.0024916,0.2505,335.6804,313.5145,67.8408,0,U,5204,999,20483,0,-.1E-6,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-01-26T13:31:00.762528,14.37653265,.00595342,87.6211,18.0962,345.0056,14.9375,0,U,5398,999,85353,.52749878E-3,.1633E-4,0
OSCAR 7 (AO-7),1974-089B,2026-01-26T12:22:06.857760,12.53695346,.00123332,101.9969,38.2540,42.6234,79.8846,0,U,7530,999,34276,.13884121E-3,-.24E-6,0
STARLETTE,1975-010A,2026-01-26T14:44:12.488352,13.82348434,.02055768,49.8258,303.4153,315.3430,43.1064,0,U,7646,999,57495,.19628603E-4,-.117E-5,0
LAGEOS 1,1976-039A,2026-01-26T02:10:13.846656,6.38664898,.0044664,109.8275,130.6903,332.6947,128.2183,0,U,8820,999,90406,0,-.8E-7,0
OPS 8701 (DSP 10),1982-019A,2026-01-26T00:04:48.788544,0.98189671,.00062363,9.5785,310.2216,315.1187,237.4499,0,U,13086,999,2426,0,-.115E-5,0
PHASE 3B (AO-10),1983-058B,2026-01-22T16:20:55.022496,2.05872829,.60595,25.9805,244.1511,75.1316,341.4004,0,U,14129,999,29249,0,.42E-6,0
UOSAT 2 (UO-11),1984-021B,2026-01-26T15:30:33.424416,14.90334701,.00062166,97.7873,353.9987,298.9836,61.0758,0,U,14781,999,23604,.32672131E-3,.3122E-4,0
AJISAI (EGS),1986-061A,2026-01-26T15:06:22.941216,12.44515300,.00112895,50.0061,222.6839,178.9041,227.0231,0,U,16908,999,46276,.17288904E-3,-.73E-6,0
TDRS 3,1988-091B,2026-01-26T04:54:28.534752,1.00273550,.0043493,12.7093,341.9359,348.3865,180.0028,0,U,19548,999,12396,0,-.289E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2026-01-26T04:31:16.780224,2.13155939,.00234162,64.8602,77.0532,217.4210,223.4820,0,U,19751,999,28834,0,-.8E-7,0
COSMOS 2024 (ETALON 2),1989-039C,2026-01-26T14:25:43.866624,2.13204380,.00204637,65.0217,315.4149,213.7803,316.9740,0,U,20026,999,28548,0,-.57E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2026-01-26T12:46:30.067680,1.00266336,.00087291,12.4599,352.0139,312.8981,138.2012,0,U,20253,999,25914,0,-.359E-5,0
LUSAT (LO-19),1990-005G,2026-01-26T06:28:54.659712,14.34068195,.0010535,98.8952,44.0951,261.6072,98.3918,0,U,20442,999,88205,.11591E-3,.277E-5,0
HST,1990-037B,2026-01-26T12:29:43.153440,15.28772489,.00017677,28.4682,327.5205,11.1496,348.9138,0,U,20580,999,76685,.37646379E-3,.11072E-3,0
SKYNET 4C,1990-079A,2026-01-26T12:08:46.921632,1.00269287,.00036436,13.3841,350.7767,310.9709,39.6294,0,U,20776,999,12946,0,.134E-5,0
USA 65 (DSP 15),1990-095A,2026-01-26T09:29:44.240352,0.98398589,.00021394,14.0912,345.0249,57.9156,46.0190,0,U,20929,999,2407,0,-.187E-5,0
TDRS 5,1991-054B,2026-01-26T14:36:40.251744,1.00267877,.00139225,14.0881,354.8210,264.8026,277.8605,0,U,21639,999,12629,0,.91E-6,0
USA 75 (DSP 16),1991-080B,2026-01-26T12:56:27.353472,0.99187221,.00015793,14.0794,346.5152,64.7210,109.2676,0,U,21805,999,2430,0,-.25E-6,0
LAGEOS 2,1992-070B,2026-01-26T14:14:24.028224,6.47293303,.01379419,52.6803,356.1317,125.4236,72.1509,0,U,22195,999,78625,0,-.9E-7,0
TDRS 6,1993-003B,2026-01-26T04:30:28.052352,1.00274862,.00063298,14.1793,358.1119,210.5619,298.6289,0,U,22314,999,12098,0,-.288E-5,0
SCD 1,1993-009B,2026-01-25T23:56:01.434912,14.46039094,.00422025,24.9709,5.4662,73.3367,333.3882,0,U,22490,999,74051,.15289163E-3,.745E-5,0
UFO 2 (USA 95),1993-056A,2026-01-26T13:50:07.212768,1.00273357,.00078005,11.8448,4.3226,317.9202,39.8433,0,U,22787,999,11712,0,.132E-5,0
STELLA,1993-061B,2026-01-26T14:59:16.532160,14.27466028,.00053627,98.7936,90.2439,292.9750,241.1973,0,U,22824,999,68457,.4586603E-5,-.34E-6,0
EYESAT A (AO-27),1993-061C,2026-01-26T14:40:59.315232,14.30897469,.00089609,98.7074,93.9708,149.9765,210.1933,0,U,22825,999,68675,.10065133E-3,.22E-5,0
ITAMSAT (IO-26),1993-061D,2026-01-26T15:11:48.501600,14.31320196,.00097047,98.7022,93.8958,135.0270,225.1701,0,U,22826,999,68706,.11442355E-3,.258E-5,0
USA 99 (MILSTAR-1 1),1994-009A,2026-01-26T11:33:27.805248,1.00273909,.00040999,17.4058,29.2325,275.6887,264.2199,0,U,22988,999,3153,0,-.197E-5,0
RADIO ROSTO (RS15),1994-085A,2026-01-26T15:45:56.357856,11.27582857,.01512125,64.8144,172.1085,30.0335,330.9156,0,U,23439,999,27994,-.3491616E-2,-.165E-5,0
UFO 4 (USA 108),1995-003A,2026-01-26T15:57:44.286624,1.00275017,.00031784,9.6419,13.6890,300.1965,223.8614,0,U,23467,999,11353,0,-.14E-6,0
TDRS 7,1995-035B,2026-01-26T15:16:47.857728,1.00270686,.0005259,13.4352,349.1632,43.0102,52.1442,0,U,23613,999,11183,0,-.232E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2026-01-26T13:29:30.780384,1.00272909,.00036354,14.0209,4.7923,308.5352,254.8923,0,U,23712,999,3146,0,-.14E-6,0
POLAR,1996-013A,2026-01-25T13:06:19.115712,1.29845976,.6326356,79.6852,228.6702,213.9041,81.6244,0,U,23802,999,14300,0,.284E-5,0
INMARSAT 3-F1,1996-020A,2026-01-26T03:39:20.733984,0.99980854,.00075345,10.3050,47.9282,239.8706,300.6820,0,U,23839,999,10883,0,.134E-5,0
USA 119,1996-029A,2026-01-26T12:14:02.895936,13.45783463,.08438937,63.3191,202.6855,46.9838,319.8818,0,U,23893,999,8620,.2935317E-3,.1626E-4,0
JAS-2 (FO-29),1996-046B,2026-01-26T13:53:28.539456,13.53265775,.03509069,98.5433,254.6839,103.7930,260.2514,0,U,24278,999,45401,.44272638E-4,.11E-6,0
INMARSAT 3-F2,1996-053A,2026-01-26T11:49:38.776224,0.99986212,.00059083,9.5359,55.3658,253.2164,288.0057,0,U,24307,999,10750,0,-.252E-5,0
INMARSAT 3-F3,1996-070A,2026-01-26T16:00:56.650176,0.99997476,.00078141,10.0124,51.0003,243.5902,258.7155,0,U,24674,999,10649,0,.47E-6,0
NAVSTAR 43 (USA 132),1997-035A,2026-01-26T02:33:11.079072,2.00563815,.0097188,55.9155,104.1321,56.6322,304.3367,0,U,24876,999,20910,0,-.17E-6,0
FORTE,1997-047A,2026-01-26T14:12:39.593952,14.27872694,.0019146,69.9552,333.8263,115.1990,245.1120,0,U,24920,999,47847,.19716072E-3,.431E-5,0
AMC-3,1997-050A,2026-01-25T11:40:44.297184,1.00270410,.0003194,7.7946,65.7176,240.8717,281.3743,0,U,24936,999,5100,0,-.253E-5,0
USA 134,1997-065A,2026-01-26T13:09:48.574368,1.00274348,.00070174,12.6147,22.7674,282.9383,265.4398,0,U,25019,999,3153,0,-.59E-6,0
ORBCOMM FM06,1997-084G,2026-01-25T22:42:02.612448,14.47081207,.00032167,45.0143,17.2401,283.0142,102.0832,0,U,25118,999,47378,.96049384E-3,.339E-4,0
INMARSAT 3-F5,1998-006B,2026-01-26T12:35:56.361696,1.00273194,.00050836,9.3750,54.6530,252.3172,313.8455,0,U,25153,999,10247,0,-.285E-5,0
ORBCOMM FM04,1998-007C,2026-01-26T12:33:25.204896,14.35424042,.00414874,107.9651,237.9588,217.5080,142.3164,0,U,25159,999,45626,.65960121E-3,.1784E-4,0
CELESTIS-02 & TAURUS R/B,1998-007D,2026-01-26T13:23:35.378304,14.22438838,.00613378,108.0150,46.3857,13.3738,102.2866,0,U,25160,999,45037,.13170211E-3,.17E-5,0
TECHSAT 1B (GO-32),1998-043D,2026-01-26T12:33:23.152896,14.24392878,.00002662,98.9970,15.7804,250.8559,109.2590,0,U,25397,999,43116,.9968562E-4,.184E-5,0
WESTPAC,1998-043E,2026-01-26T12:29:33.639936,14.23043146,.00003856,98.9999,9.3140,225.7005,134.4141,0,U,25398,999,43079,.34836525E-4,.32E-6,0
ORBCOMM FM19,1998-046C,2026-01-25T21:04:53.452416,14.39130348,.00024631,44.9915,199.8319,312.6453,191.3010,0,U,25415,999,43627,.70173042E-3,.205E-4,0
ORBCOMM FM20,1998-046D,2026-01-26T13:25:24.739968,14.37787708,.0000221,44.9923,203.0005,51.0626,309.0241,0,U,25416,999,43640,.54713717E-3,.1521E-4,0
ORBCOMM FM27,1998-053G,2026-01-26T00:05:08.616480,14.38807889,.00016728,45.0053,290.5184,325.5051,34.5689,0,U,25481,999,42975,.67197287E-3,.1943E-4,0
SCD 2,1998-060A,2026-01-26T15:09:21.189600,14.45453693,.00169672,24.9937,225.0933,67.5343,345.1569,0,U,25504,999,43982,.12564259E-3,.632E-5,0
ISS (ZARYA),1998-067A,2026-01-26T13:29:46.905216,15.48203655,.0011114,51.6321,280.6014,32.6655,327.5019,0,U,25544,999,54980,.2438867E-3,.12665E-3,0
SWAS,1998-071A,2026-01-26T13:33:56.010240,15.08455408,.00033367,69.8940,232.4341,141.0725,219.0679,0,U,25560,999,47590,.29960428E-3,.4576E-4,0
SKYNET 4E,1999-009B,2026-01-26T13:57:14.821056,0.99028447,.00045548,11.9804,9.8585,268.4005,180.4088,0,U,25639,999,4975,0,-.236E-5,0
DLR-TUBSAT,1999-029B,2026-01-26T12:21:44.980416,14.52378586,.00152736,98.6610,17.4215,63.1945,297.0810,0,U,25757,999,41268,.72411759E-4,.247E-5,0
CXO,1999-040B,2026-01-29T05:17:45.410208,0.37803407,.80641026,53.9016,120.8729,310.8270,0.4043,0,U,25867,999,1680,0,.801E-5,0
ABS-6,1999-053A,2026-01-25T23:02:54.721248,1.00271519,.00027081,0.0492,257.2309,39.2065,333.5433,0,U,25924,999,9640,0,-.106E-5,0
NAVSTAR 46 (USA 145),1999-055A,2026-01-25T17:09:29.151936,2.00569569,.01069678,51.5914,301.7015,170.9811,196.3226,0,U,25933,999,19272,0,-.51E-6,0
UFO 10 (USA 146),1999-063A,2026-01-25T08:29:10.150080,1.00273520,.00061749,9.8369,27.9631,270.9017,290.1960,0,U,25967,999,9591,0,-.178E-5,0
ORBCOMM FM32,1999-065C,2026-01-26T14:32:29.884416,14.36868074,.00045434,45.0141,123.2711,80.2539,279.8822,0,U,25982,999,36672,.66155039E-3,.1832E-4,0
XMM-NEWTON,1999-066A,2026-01-27T17:40:19.074432,0.50128100,.47280899,65.1978,284.8372,67.3827,359.9782,0,U,25989,999,2230,0,.146E-5,0
