OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 106,2017-003A,2025-12-17T13:23:14.263872,14.34217554,.00022758,86.3993,164.4424,98.0709,262.0745,0,U,41917,999,46717,-.10955117E-4,-.11E-6,0
IRIDIUM 103,2017-003B,2025-12-17T13:04:58.332576,14.34214525,.0001668,86.3987,164.3480,100.5514,259.5870,0,U,41918,999,46719,.18309165E-4,.71E-6,0
IRIDIUM 109,2017-003C,2025-12-17T13:14:06.574272,14.34220344,.00019226,86.3988,164.4018,93.5879,266.5537,0,U,41919,999,46716,.12329531E-4,.54E-6,0
IRIDIUM 102,2017-003D,2025-12-17T14:08:54.090816,14.34216994,.00018969,86.3991,164.3135,88.5874,271.5539,0,U,41920,999,46725,-.21002927E-4,-.39E-6,0
IRIDIUM 105,2017-003E,2025-12-17T15:07:13.890432,14.34215096,.00019284,86.3982,132.7888,95.2489,264.8927,0,U,41921,999,46911,.96495804E-4,.29E-5,0
IRIDIUM 104,2017-003F,2025-12-17T12:46:41.983104,14.34218137,.0001654,86.3984,164.3769,89.1626,270.9759,0,U,41922,999,46723,.3695626E-5,.3E-6,0
IRIDIUM 114,2017-003G,2025-12-17T12:55:49.416960,14.34216608,.00016942,86.3990,164.3583,92.5526,267.5864,0,U,41923,999,46721,-.5346322E-5,.5E-7,0
IRIDIUM 108,2017-003H,2025-12-17T15:17:02.601024,14.34217739,.0002095,86.3977,132.6757,89.8184,270.3252,0,U,41924,999,46908,.90415791E-4,.273E-5,0
IRIDIUM 112,2017-003J,2025-12-17T12:37:34.081824,14.34217522,.00018427,86.3983,164.2142,87.9465,272.1941,0,U,41925,999,46723,.3916472E-5,.31E-6,0
IRIDIUM 111,2017-003K,2025-12-17T13:59:46.203360,14.34217629,.00018623,86.3991,164.2570,94.0496,266.0912,0,U,41926,999,46722,-.6534612E-5,.1E-7,0
IRIDIUM 113,2017-039A,2025-12-17T15:11:23.195040,14.34217773,.00019509,86.3971,38.0500,94.0114,266.1305,0,U,42803,999,44516,.9167178E-5,.45E-6,0
IRIDIUM 123,2017-039B,2025-12-17T14:30:39.079872,14.34217352,.00021537,86.3965,69.5458,105.0536,255.0899,0,U,42804,999,44392,.60891396E-4,.19E-5,0
IRIDIUM 120,2017-039C,2025-12-17T15:02:15.295488,14.34218247,.00025121,86.3960,37.8587,95.6869,264.4613,0,U,42805,999,44515,.68899895E-4,.213E-5,0
IRIDIUM 115,2017-039D,2025-12-17T14:39:02.272608,14.43277557,.00025677,86.4496,37.9693,104.6741,255.4745,0,U,42806,999,44807,.91887621E-4,.329E-5,0
IRIDIUM 118,2017-039E,2025-12-17T15:16:18.932736,14.34215246,.00018897,86.3962,69.5312,97.0773,263.0637,0,U,42807,999,44392,-.5939884E-5,.3E-7,0
IRIDIUM 117,2017-039F,2025-12-17T14:03:14.950944,14.34218435,.00020854,86.3965,69.5120,102.5494,257.5935,0,U,42808,999,44394,.86118904E-4,.261E-5,0
